Tanggal;Provinsi;Kabupaten/Kota;Cuaca Ekstrem;Dampak
2021-05-05;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2021-06-01;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2021-06-02;Jawa Barat;Kab. Sukabumi;Angin Kencang;Bangunan Rusak
2021-06-06;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Bangunan Rusak
2021-06-13;Jawa Barat;Kab. Sukabumi;Puting Beliung, Hujan Lebat;Bangunan Rusak
2021-06-16;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2021-06-21;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-06-27;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2021-08-18;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-08-21;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2021-09-06;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Bangunan Rusak
2021-09-13;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2021-09-14;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2021-09-19;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-09-22;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-09-24;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2021-09-25;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2021-09-26;Jawa Barat;Kab. Sukabumi;Angin Kencang;Pohon Tumbang, Bangunan Rusak
2021-10-17;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2021-10-18;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2021-10-19;Jawa Barat;Kab. Sukabumi;Angin Kencang;Bangunan Rusak
2021-10-20;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-10-24;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-10-25;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2021-10-28;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2021-10-30;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-11-05;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-11-08;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2021-11-18;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-11-23;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-11-29;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-11-30;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-12-09;Jawa Barat;Kab. Sukabumi;Puting Beliung, Hujan Lebat;Bangunan Rusak
2021-12-23;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2021-12-27;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2021-12-28;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-01-13;Jawa Barat;Kab. Sukabumi;Angin Kencang;Bangunan Rusak
2022-01-14;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-01-31;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-02-05;Jawa Barat;Kab. Sukabumi;Angin Kencang;Pohon Tumbang, Gangguan Transportasi
2022-02-07;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2022-02-07;Jawa Barat;Kab. Sukabumi;Angin Kencang;Tidak ada data
2022-02-09;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2022-02-09;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-02-17;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Bangunan Rusak, Korban Jiwa / Luka
2022-02-21;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-02-24;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2022-02-27;Jawa Barat;Kab. Sukabumi;Angin Kencang;Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka
2022-02-28;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2022-03-01;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-03-02;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-03-09;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-03-09;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2022-03-10;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2022-03-10;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2022-03-14;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2022-03-21;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-03-26;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2022-04-05;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Bangunan Rusak
2022-04-16;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-05-06;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2022-05-11;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Korban Jiwa / Luka
2022-05-21;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-05-25;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2022-05-30;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2022-06-03;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-06-06;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Tanah Longsor
2022-06-09;Jawa Barat;Kab. Sukabumi;Puting Beliung, Hujan Lebat;Bangunan Rusak
2022-06-18;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2022-06-18;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-06-20;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2022-06-23;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Tanah Longsor
2022-06-24;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2022-06-24;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2022-06-25;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-08-13;Jawa Barat;Kab. Sukabumi;Hujan Lebat, Petir;Korban Jiwa / Luka
2022-08-14;Jawa Barat;Kab. Sukabumi;Puting Beliung, Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2022-08-19;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat, Petir;Korban Jiwa / Luka
2022-08-19;Jawa Barat;Kab. Sukabumi;Puting Beliung, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-08-23;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-08-27;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2022-09-03;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-09-07;Jawa Barat;Kab. Sukabumi;Puting Beliung, Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-09-11;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2022-09-12;Jawa Barat;Kab. Sukabumi;Puting Beliung, Hujan Lebat;Bangunan Rusak
2022-09-13;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-09-17;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2022-09-17;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2022-09-24;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-10-04;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-10-07;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-10-07;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2022-10-21;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-10-23;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2022-10-24;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Pohon Tumbang, Tanah Longsor, Gangguan Transportasi
2022-11-03;Jawa Barat;Kab. Sukabumi;Angin Kencang;Bangunan Rusak
2022-11-04;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Pohon Tumbang, Tanah Longsor, Gangguan Transportasi
2022-11-05;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-11-11;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-11-16;Jawa Barat;Kab. Sukabumi;Angin Kencang;Bangunan Rusak
2022-11-18;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-11-19;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-11-24;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-12-05;Jawa Barat;Kab. Sukabumi;Angin Kencang;Pohon Tumbang
2022-12-06;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2022-12-16;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-12-22;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2022-12-26;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2022-12-27;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-12-29;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-12-30;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2022-12-31;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2023-01-19;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-01-25;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2023-02-03;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-02-04;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2023-02-14;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2023-02-21;Jawa Barat;Kab. Sukabumi;Angin Kencang;Pohon Tumbang, Bangunan Rusak
2023-02-28;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-03-02;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-03-02;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2023-03-12;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2023-03-17;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Gangguan Transportasi
2023-03-19;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2023-03-22;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak, Gangguan Transportasi
2023-04-04;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2023-04-19;Jawa Barat;Kab. Sukabumi;Angin Kencang;Bangunan Rusak
2023-04-21;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-04-21;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2023-04-21;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-04-22;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2023-04-23;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-04-23;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2023-04-26;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat, Petir;Korban Jiwa / Luka
2023-04-28;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-05-03;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2023-05-05;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2023-05-08;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2023-05-27;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2023-06-19;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-06-22;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-06-30;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-09-09;Jawa Barat;Kab. Sukabumi;Angin Kencang;Pohon Tumbang
2023-09-13;Jawa Barat;Kab. Sukabumi;Angin Kencang;Pohon Tumbang
2023-09-19;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-10-06;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-10-07;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-10-10;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-10-21;Jawa Barat;Kab. Sukabumi;Puting Beliung, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-10-21;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2023-10-25;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2023-10-27;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2023-10-27;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2023-11-01;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Tanah Longsor, Bangunan Rusak
2023-11-03;Jawa Barat;Kab. Sukabumi;Puting Beliung;Bangunan Rusak
2023-11-09;Jawa Barat;Kab. Sukabumi;Puting Beliung;Pohon Tumbang, Bangunan Rusak
2023-11-12;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-11-24;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-11-27;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor
2023-11-29;Jawa Barat;Kab. Sukabumi;Puting Beliung, Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-12-09;Jawa Barat;Kab. Sukabumi;Puting Beliung, Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2023-12-13;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-12-26;Jawa Barat;Kab. Sukabumi;Hujan Lebat, Petir;Bangunan Rusak
2024-01-01;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2024-01-07;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Gangguan Transportasi
2024-01-11;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2024-01-22;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2024-01-24;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-03-30;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2024-04-01;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-04-03;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Korban Jiwa / Luka, Gangguan Transportasi
2024-04-03;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Gangguan Transportasi
2024-05-18;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2024-05-24;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-06-07;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-06-11;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka
2024-06-12;Jawa Barat;Kab. Sukabumi;Petir;Korban Jiwa / Luka
2024-06-26;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-06-29;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan
2024-07-04;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-09-08;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang
2024-09-25;Jawa Barat;Kab. Sukabumi;Hujan Lebat, Petir;Bangunan Rusak
2024-09-28;Jawa Barat;Kab. Sukabumi;Puting Beliung, Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2024-09-29;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2024-10-02;Jawa Barat;Kab. Sukabumi;Puting Beliung, Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-10-14;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Pohon Tumbang, Tanah Longsor, Bangunan Rusak
2024-11-07;Jawa Barat;Kab. Sukabumi;Hujan Lebat, Petir;Korban Jiwa / Luka
2024-11-13;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Korban Jiwa / Luka
2024-11-16;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-11-20;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-11-22;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Banjir / Genangan, Tanah Longsor
2024-11-26;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-11-26;Jawa Barat;Kab. Sukabumi;Angin Kencang;Bangunan Rusak, Gangguan Transportasi
2024-12-03;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-12-03;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2024-12-04;Jawa Barat;Kab. Sukabumi;Angin Kencang, Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi
2024-12-25;Jawa Barat;Kab. Sukabumi;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2018-02-21;Jawa Barat;Kab. Sumedang;Puting Beliung;Pohon Tumbang, Bangunan Rusak
2018-03-08;Jawa Barat;Kab. Sumedang;Puting Beliung;Pohon Tumbang, Bangunan Rusak
2019-01-13;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2019-02-23;Jawa Barat;Kab. Sumedang;Puting Beliung, Hujan Lebat;Bangunan Rusak
2019-03-04;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2019-04-16;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2019-07-02;Jawa Barat;Kab. Sumedang;Suhu Ekstrem;Tidak ada data
2019-07-11;Jawa Barat;Kab. Sumedang;Suhu Ekstrem;Tidak ada data
2020-01-21;Jawa Barat;Kab. Sumedang;Angin Kencang;Gangguan Transportasi
2020-01-26;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka
2020-02-03;Jawa Barat;Kab. Sumedang;Hujan Lebat;Pohon Tumbang, Tanah Longsor, Gangguan Transportasi
2020-02-28;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2020-03-30;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Bangunan Rusak
2020-04-06;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor
2020-11-30;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2020-12-02;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor
2021-01-09;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka
2021-02-07;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2021-03-06;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2021-03-08;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2021-03-25;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka
2021-10-21;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-11-13;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-11-16;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-11-27;Jawa Barat;Kab. Sumedang;Hujan Lebat;Pohon Tumbang
2021-11-27;Jawa Barat;Kab. Sumedang;Hujan Lebat;Pohon Tumbang
2021-12-30;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor
2022-01-06;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-01-07;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2022-01-13;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor
2022-01-15;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor
2022-01-22;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2022-02-16;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-03-11;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-03-13;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-03-19;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-04-09;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-04-19;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2022-04-20;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Pohon Tumbang, Korban Jiwa / Luka
2022-04-22;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Tanah Longsor
2022-04-23;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor
2022-04-24;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2022-05-04;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Korban Jiwa / Luka
2022-06-05;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2022-07-06;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-11-15;Jawa Barat;Kab. Sumedang;Hujan Lebat;Bangunan Rusak
2022-11-24;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2022-12-17;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2023-01-13;Jawa Barat;Kab. Sumedang;Puting Beliung;Bangunan Rusak
2023-01-14;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-01-20;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-01-21;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Pohon Tumbang, Tanah Longsor
2023-01-21;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Pohon Tumbang
2023-01-22;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-01-23;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Pohon Tumbang
2023-03-17;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-03-26;Jawa Barat;Kab. Sumedang;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-03-31;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-04-14;Jawa Barat;Kab. Sumedang;Hujan Lebat;Banjir / Genangan
2023-04-25;Jawa Barat;Kab. Sumedang;Angin Kencang, Hujan Lebat;Bangunan Rusak
